id,name,text,trans
0000000000000,清夏,ん？　Pっち、この丸いのなに？\n周りに星座のマークがついてるけど。,嗯？P亲，这个圆圆的什么东西？\n周围有星座的标记呢。
0000000000000,{user},たしか、ルーレット式おみくじ機です。\nおみくじと番号占いが一度にできます。,好像是轮盘式签文机。\n可以一次完成抽签和数字占卜。
0000000000000,{user},昔はいろんな飲食店に、\n設置されていたらしいですよ。,据说以前好多餐饮店里，\n都放了这个东西呢。
0000000000000,清夏,へー、面白そうだし、\nちょっとやってみよっかな！,诶——听起来挺有意思的，\n我来试试看吧！
0000000000000,清夏,……あ、なんか出てきたよ！,……啊，好像有东西出来了！
select,,ピンクの紙ですね,是粉色的纸条啊。
select,,白い紙ですね,是白色的纸条啊。
select,,青い紙ですね,是蓝色的纸条啊。
0000000000000,清夏,あ、占い結果書いてる。\nおみくじは……やった、大吉ゲット♪,啊，上面写着占卜结果呢。\n签文是……耶，抽到大吉了♪
0000000000000,清夏,番号占いの方は……\n嬉しいサプライズあり、だって。,数字占卜这边……\n写着会有惊喜的意外惊喜耶。
0000000000000,{user},……っ！？,……！？
0000000000000,清夏,……Pっち、もしかして\nなんかサプライズ用意してる感じ？,……P亲，难道你\n准备了什么惊喜吗？
0000000000000,清夏,ねえねえ、これから何があるの～？\n楽しみだなぁ～♪,喂喂，接下来要发生什么啊～？\n好期待啊～♪
0000000000000,清夏,あ、占い結果書いてる。\nおみくじは……中吉かぁ。,啊，上面写着占卜结果呢。\n签文是……中吉啊。
0000000000000,清夏,番号占いの方は……\n今が伸び盛り、だって！,数字占卜这边……\n写着现在是成长的最佳时期！
0000000000000,清夏,レッスン、増やした方がいいかな？,要不要增加点训练呢？
0000000000000,{user},清夏さんは既に十分頑張っていますし、\nこちらが驚くぐらい成長していますよ。,清夏同学已经很努力了，\n连我都惊讶于你的进步。
0000000000000,清夏,……そう、かな？\nへへっ、ありがと♪,……是吗？\n嘿嘿，谢谢♪
0000000000000,清夏,あ、占い結果書いてる。\nおみくじは……うわ、凶だぁ……,啊，上面写着占卜结果呢。\n签文是……哇，是凶签啊……
0000000000000,清夏,番号占いの方は……\n本日アクシデントに注意、だって。,数字占卜这边……\n写着今天要小心意外事故。
0000000000000,{user},……占いとはいえ心配ですね。\n今日は可能な限り、そばにいます。,……虽然是占卜结果，但还是让人担心呢。\n今天我会尽可能待在你身边。
0000000000000,清夏,……え、ほ、ほんとに！？,……诶，真、真的吗！？
0000000000000,清夏,（……占いは良くなかったけど、\n　ちょっと嬉しいかも♪）,（……占卜结果虽然不好，\n 但感觉有点开心呢♪）
info,adv_pevent_003_ssmk_activity_021.txt,,
译者,,,
